time(UTC),latitude,longitude,distance(m),ice(m)
10-Jan-2020 20:16:42,-75.1982,-104.8266,2857.0339,-521.6337
10-Jan-2020 20:16:37,-75.1982,-104.8266,2855.9674,-521.6244
10-Jan-2020 20:16:33,-75.1982,-104.8266,2855.0376,-521.6179
10-Jan-2020 20:16:31,-75.1983,-104.8266,2854.2437,-521.6142
10-Jan-2020 20:16:30,-75.1983,-104.8266,2853.7630,-521.6132
10-Jan-2020 20:16:29,-75.1983,-104.8266,2853.4141,-521.6120
10-Jan-2020 20:16:28,-75.1983,-104.8266,2853.1490,-521.6105
10-Jan-2020 20:16:27,-75.1983,-104.8266,2852.8671,-521.6092
10-Jan-2020 20:16:26,-75.1983,-104.8266,2852.5238,-521.6080
10-Jan-2020 20:16:25,-75.1983,-104.8266,2852.2202,-521.6062
10-Jan-2020 20:16:24,-75.1983,-104.8266,2852.0210,-521.6027
10-Jan-2020 20:16:23,-75.1983,-104.8266,2851.9023,-521.5973
10-Jan-2020 20:16:22,-75.1983,-104.8266,2851.7585,-521.5919
10-Jan-2020 20:16:21,-75.1983,-104.8266,2851.5442,-521.5883
10-Jan-2020 20:16:20,-75.1983,-104.8266,2851.2524,-521.5870
10-Jan-2020 20:16:19,-75.1983,-104.8266,2850.9198,-521.5871
10-Jan-2020 20:16:18,-75.1983,-104.8266,2850.5438,-521.5871
10-Jan-2020 20:16:17,-75.1983,-104.8266,2850.1697,-521.5862
10-Jan-2020 20:16:16,-75.1983,-104.8266,2849.8521,-521.5845
10-Jan-2020 20:16:15,-75.1983,-104.8266,2849.6455,-521.5833
10-Jan-2020 20:16:14,-75.1983,-104.8266,2849.4809,-521.5833
10-Jan-2020 20:16:13,-75.1983,-104.8266,2849.3422,-521.5849
10-Jan-2020 20:16:12,-75.1983,-104.8266,2849.1834,-521.5872
10-Jan-2020 20:16:11,-75.1983,-104.8266,2849.0870,-521.5907
10-Jan-2020 20:16:10,-75.1983,-104.8266,2848.9626,-521.5937
10-Jan-2020 20:16:09,-75.1983,-104.8266,2848.8154,-521.5965
10-Jan-2020 20:16:08,-75.1983,-104.8266,2848.5662,-521.5978
10-Jan-2020 20:16:07,-75.1983,-104.8266,2848.3296,-521.5985
10-Jan-2020 20:16:06,-75.1983,-104.8266,2848.0904,-521.5987
10-Jan-2020 20:16:05,-75.1983,-104.8266,2847.9223,-521.5995
10-Jan-2020 20:16:04,-75.1983,-104.8266,2847.7942,-521.5981
10-Jan-2020 20:16:03,-75.1983,-104.8266,2847.6359,-521.5881
10-Jan-2020 20:16:02,-75.1983,-104.8266,2847.4099,-521.5687
10-Jan-2020 20:16:01,-75.1983,-104.8266,2847.0968,-521.5453
10-Jan-2020 20:16:00,-75.1983,-104.8266,2846.8375,-521.5320
10-Jan-2020 20:15:59,-75.1983,-104.8266,2846.4420,-521.5280
10-Jan-2020 20:15:58,-75.1983,-104.8266,2845.8540,-521.5305
10-Jan-2020 20:15:57,-75.1983,-104.8266,2845.0494,-521.5300
10-Jan-2020 20:15:56,-75.1983,-104.8266,2844.4080,-521.5293
10-Jan-2020 20:15:55,-75.1983,-104.8266,2844.0473,-521.5279
10-Jan-2020 20:15:54,-75.1983,-104.8266,2843.9366,-521.5275
10-Jan-2020 20:15:53,-75.1983,-104.8266,2843.8404,-521.5271
10-Jan-2020 20:15:52,-75.1983,-104.8266,2843.7013,-521.5290
10-Jan-2020 20:15:50,-75.1983,-104.8266,2843.4684,-521.5346
10-Jan-2020 20:15:49,-75.1984,-104.8266,2843.2261,-521.5425
10-Jan-2020 20:15:47,-75.1984,-104.8266,2842.9668,-521.5465
10-Jan-2020 20:15:46,-75.1984,-104.8266,2842.7830,-521.5436
10-Jan-2020 20:15:45,-75.1984,-104.8266,2842.6128,-521.5352
10-Jan-2020 20:15:44,-75.1984,-104.8266,2842.4555,-521.5284
10-Jan-2020 20:15:43,-75.1984,-104.8266,2842.2471,-521.5254
10-Jan-2020 20:15:42,-75.1984,-104.8266,2842.0558,-521.5250
10-Jan-2020 20:15:41,-75.1984,-104.8266,2841.7979,-521.5241
10-Jan-2020 20:15:40,-75.1984,-104.8266,2841.4830,-521.5213
10-Jan-2020 20:15:39,-75.1984,-104.8266,2841.0708,-521.5170
10-Jan-2020 20:15:38,-75.1984,-104.8266,2840.7550,-521.5119
10-Jan-2020 20:15:37,-75.1984,-104.8266,2840.5710,-521.5057
10-Jan-2020 20:15:36,-75.1984,-104.8266,2840.4815,-521.4985
10-Jan-2020 20:15:35,-75.1984,-104.8266,2840.3320,-521.4897
10-Jan-2020 20:15:34,-75.1984,-104.8266,2840.0264,-521.4820
10-Jan-2020 20:15:33,-75.1984,-104.8266,2839.5786,-521.4765
10-Jan-2020 20:15:32,-75.1984,-104.8266,2839.0294,-521.4738
10-Jan-2020 20:15:31,-75.1984,-104.8266,2838.5046,-521.4728
10-Jan-2020 20:15:30,-75.1984,-104.8266,2838.0872,-521.4724
10-Jan-2020 20:15:28,-75.1984,-104.8266,2837.8339,-521.3856
10-Jan-2020 20:15:26,-75.1984,-104.8266,2837.5952,-521.2320
10-Jan-2020 20:15:24,-75.1984,-104.8266,2837.2952,-521.0298
10-Jan-2020 20:15:22,-75.1984,-104.8266,2836.9004,-520.9333
10-Jan-2020 20:15:21,-75.1984,-104.8266,2836.6021,-520.9029
10-Jan-2020 20:15:20,-75.1984,-104.8266,2836.3230,-520.9018
10-Jan-2020 20:15:19,-75.1984,-104.8266,2836.0521,-520.8622
10-Jan-2020 20:15:18,-75.1984,-104.8266,2835.7037,-520.7282
10-Jan-2020 20:15:17,-75.1984,-104.8266,2835.4608,-520.5377
10-Jan-2020 20:15:16,-75.1984,-104.8266,2835.3213,-520.3104
10-Jan-2020 20:15:15,-75.1984,-104.8266,2835.2170,-520.1406
10-Jan-2020 20:15:14,-75.1984,-104.8266,2835.0496,-519.9900
10-Jan-2020 20:15:12,-75.1984,-104.8266,2834.6801,-519.8416
10-Jan-2020 20:15:09,-75.1984,-104.8266,2834.2207,-519.7328
10-Jan-2020 20:15:05,-75.1984,-104.8266,2833.6671,-519.6829
10-Jan-2020 20:15:02,-75.1985,-104.8266,2833.2973,-519.6878
10-Jan-2020 20:15:01,-75.1985,-104.8266,2832.9466,-519.6924
10-Jan-2020 20:15:00,-75.1985,-104.8266,2832.6261,-519.6971
10-Jan-2020 20:14:59,-75.1985,-104.8266,2832.1356,-519.7037
10-Jan-2020 20:14:58,-75.1985,-104.8266,2831.6730,-519.7098
10-Jan-2020 20:14:57,-75.1985,-104.8266,2831.2411,-519.7132
10-Jan-2020 20:14:56,-75.1985,-104.8266,2830.9337,-519.7137
10-Jan-2020 20:14:55,-75.1985,-104.8266,2830.6747,-519.7125
10-Jan-2020 20:14:54,-75.1985,-104.8266,2830.4632,-519.7108
10-Jan-2020 20:14:53,-75.1985,-104.8266,2830.2750,-519.7097
10-Jan-2020 20:14:52,-75.1985,-104.8266,2830.0110,-519.7089
10-Jan-2020 20:14:51,-75.1985,-104.8266,2829.6453,-519.7107
10-Jan-2020 20:14:50,-75.1985,-104.8266,2829.1566,-519.7159
10-Jan-2020 20:14:49,-75.1985,-104.8266,2828.7022,-519.7263
10-Jan-2020 20:14:48,-75.1985,-104.8266,2828.3231,-519.7393
10-Jan-2020 20:14:47,-75.1985,-104.8266,2828.0075,-519.7516
10-Jan-2020 20:14:46,-75.1985,-104.8266,2827.6150,-519.7620
10-Jan-2020 20:14:45,-75.1985,-104.8266,2827.1550,-519.7698
10-Jan-2020 20:14:44,-75.1985,-104.8266,2826.7045,-519.7765
10-Jan-2020 20:14:42,-75.1985,-104.8266,2826.3594,-519.7837
10-Jan-2020 20:14:39,-75.1985,-104.8266,2826.0922,-519.7897
10-Jan-2020 20:14:35,-75.1985,-104.8266,2825.8442,-519.7953
10-Jan-2020 20:14:32,-75.1985,-104.8266,2825.5412,-519.7960
10-Jan-2020 20:14:31,-75.1985,-104.8266,2825.1476,-519.7956
10-Jan-2020 20:14:30,-75.1985,-104.8266,2824.6719,-519.7942
10-Jan-2020 20:14:29,-75.1985,-104.8266,2824.2589,-519.7938
10-Jan-2020 20:14:28,-75.1985,-104.8266,2823.9447,-519.7947
