time(UTC),latitude,longitude,distance(m),depth(m),pressure(db),insitu_temperature(C),conductivity(mS/cm),Conservative_Temperature(C),Absolute_Salinity(g/kg),thermal_driving(C),density_anomaly(kg/m^3),potential_temperature(C),practical_salinity(psu),speed_of_sound(m/s),dissolved_oxygen(ml/l)
10-Jan-2020 20:16:56,-75.2071,-104.8253,2861.5250,-613.3393,620.7120,0.0508,28.9044,0.0284,34.5637,2.3921,27.6228,0.0144,34.3945,1458.6991,4.4275
10-Jan-2020 20:16:56,-75.2071,-104.8253,2861.4987,-613.3446,620.7174,0.0509,28.9044,0.0284,34.5636,2.3922,27.6227,0.0144,34.3944,1458.6994,4.4277
10-Jan-2020 20:16:56,-75.2071,-104.8253,2861.4575,-613.4449,620.8190,0.0509,28.9039,0.0285,34.5629,2.3923,27.6222,0.0145,34.3937,1458.7004,4.4282
10-Jan-2020 20:16:56,-75.2071,-104.8253,2861.4022,-613.5580,620.9336,0.0512,28.9036,0.0287,34.5621,2.3925,27.6215,0.0147,34.3929,1458.7023,4.4287
10-Jan-2020 20:16:56,-75.2071,-104.8253,2861.3292,-613.6709,621.0481,0.0514,28.9032,0.0290,34.5612,2.3928,27.6208,0.0149,34.3920,1458.7042,4.4290
10-Jan-2020 20:16:56,-75.2071,-104.8253,2861.2299,-613.7821,621.1607,0.0514,28.9030,0.0290,34.5609,2.3929,27.6206,0.0149,34.3917,1458.7060,4.4291
10-Jan-2020 20:16:56,-75.2071,-104.8253,2861.1023,-613.8933,621.2735,0.0513,28.9030,0.0289,34.5609,2.3929,27.6206,0.0148,34.3917,1458.7065,4.4292
10-Jan-2020 20:16:56,-75.2071,-104.8253,2860.9341,-613.9890,621.3704,0.0507,28.9029,0.0283,34.5613,2.3924,27.6209,0.0142,34.3921,1458.7069,4.4293
10-Jan-2020 20:16:48,-75.2071,-104.8253,2860.7205,-614.0687,621.4513,0.0507,28.9029,0.0283,34.5613,2.3924,27.6209,0.0142,34.3921,1458.7073,4.4293
10-Jan-2020 20:16:48,-75.2071,-104.8253,2860.5341,-614.1410,621.5245,0.0511,28.9029,0.0286,34.5613,2.3928,27.6209,0.0146,34.3921,1458.7100,4.4293
10-Jan-2020 20:16:48,-75.2071,-104.8253,2860.3502,-614.1958,621.5801,0.0513,28.9034,0.0288,34.5614,2.3931,27.6210,0.0148,34.3922,1458.7124,4.4289
10-Jan-2020 20:16:48,-75.2071,-104.8253,2860.1202,-614.2249,621.6096,0.0518,28.9049,0.0293,34.5627,2.3937,27.6220,0.0153,34.3935,1458.7171,4.4284
10-Jan-2020 20:16:48,-75.2071,-104.8253,2859.8889,-614.2306,621.6154,0.0529,28.9069,0.0304,34.5642,2.3948,27.6231,0.0163,34.3950,1458.7241,4.4280
10-Jan-2020 20:16:48,-75.2071,-104.8253,2859.6207,-614.2306,621.6154,0.0534,28.9086,0.0309,34.5658,2.3954,27.6244,0.0169,34.3966,1458.7286,4.4277
10-Jan-2020 20:16:48,-75.2071,-104.8253,2859.3549,-614.2262,621.6109,0.0542,28.9098,0.0317,34.5658,2.3963,27.6244,0.0177,34.3966,1458.7333,4.4275
