time(UTC),latitude,longitude,distance(m),seafloor(m)
10-Jan-2020 20:16:56,-75.1982,-104.8266,2861.4476,-618.0336
10-Jan-2020 20:16:56,-75.1982,-104.8266,2861.3898,-618.0196
10-Jan-2020 20:16:56,-75.1982,-104.8266,2861.3124,-617.9994
10-Jan-2020 20:16:56,-75.1982,-104.8266,2861.2099,-617.9817
10-Jan-2020 20:16:55,-75.1982,-104.8266,2861.0761,-617.9732
10-Jan-2020 20:16:53,-75.1982,-104.8266,2860.9124,-617.9786
10-Jan-2020 20:16:50,-75.1982,-104.8266,2860.7278,-617.9930
10-Jan-2020 20:16:48,-75.1982,-104.8266,2860.5331,-618.0054
10-Jan-2020 20:16:48,-75.1982,-104.8266,2860.3298,-618.0129
10-Jan-2020 20:16:48,-75.1982,-104.8266,2860.1104,-618.0150
10-Jan-2020 20:16:48,-75.1982,-104.8266,2859.8726,-618.0188
10-Jan-2020 20:16:48,-75.1982,-104.8266,2859.6173,-618.0260
10-Jan-2020 20:16:48,-75.1982,-104.8266,2859.3535,-618.0378
10-Jan-2020 20:16:47,-75.1982,-104.8266,2859.0840,-618.0467
10-Jan-2020 20:16:45,-75.1982,-104.8266,2858.8133,-618.0482
10-Jan-2020 20:16:42,-75.1982,-104.8266,2858.5411,-618.0391
10-Jan-2020 20:16:40,-75.1982,-104.8266,2858.2684,-618.0273
10-Jan-2020 20:16:39,-75.1982,-104.8266,2857.9953,-618.0210
10-Jan-2020 20:16:39,-75.1982,-104.8266,2857.7226,-618.0251
10-Jan-2020 20:16:39,-75.1982,-104.8266,2857.4501,-618.0283
10-Jan-2020 20:16:39,-75.1982,-104.8266,2857.1767,-618.0162
10-Jan-2020 20:16:38,-75.1982,-104.8266,2856.9021,-617.9864
10-Jan-2020 20:16:36,-75.1982,-104.8266,2856.6274,-617.9568
10-Jan-2020 20:16:33,-75.1982,-104.8266,2856.3537,-617.9340
10-Jan-2020 20:16:31,-75.1982,-104.8266,2856.0829,-617.9095
10-Jan-2020 20:16:30,-75.1983,-104.8266,2855.8150,-617.8676
10-Jan-2020 20:16:30,-75.1983,-104.8266,2855.5505,-617.8102
10-Jan-2020 20:16:30,-75.1983,-104.8266,2855.2879,-617.7546
10-Jan-2020 20:16:30,-75.1983,-104.8266,2855.0279,-617.7157
10-Jan-2020 20:16:30,-75.1983,-104.8266,2854.7697,-617.7007
10-Jan-2020 20:16:29,-75.1983,-104.8266,2854.5135,-617.7057
10-Jan-2020 20:16:27,-75.1983,-104.8266,2854.2576,-617.7209
10-Jan-2020 20:16:24,-75.1983,-104.8266,2854.0021,-617.7369
10-Jan-2020 20:16:23,-75.1983,-104.8266,2853.7447,-617.7447
10-Jan-2020 20:16:22,-75.1983,-104.8266,2853.4847,-617.7457
10-Jan-2020 20:16:22,-75.1983,-104.8266,2853.2198,-617.7493
10-Jan-2020 20:16:22,-75.1983,-104.8266,2852.9507,-617.7610
10-Jan-2020 20:16:22,-75.1983,-104.8266,2852.6793,-617.7819
10-Jan-2020 20:16:22,-75.1983,-104.8266,2852.4071,-617.8007
10-Jan-2020 20:16:21,-75.1983,-104.8266,2852.1346,-617.8184
10-Jan-2020 20:16:19,-75.1983,-104.8266,2851.8610,-617.8336
10-Jan-2020 20:16:16,-75.1983,-104.8266,2851.5918,-617.8481
10-Jan-2020 20:16:14,-75.1983,-104.8266,2851.3320,-617.8574
10-Jan-2020 20:16:13,-75.1983,-104.8266,2851.0839,-617.8609
10-Jan-2020 20:16:13,-75.1983,-104.8266,2850.8371,-617.8668
10-Jan-2020 20:16:13,-75.1983,-104.8266,2850.5832,-617.8788
10-Jan-2020 20:16:13,-75.1983,-104.8266,2850.3234,-617.9031
10-Jan-2020 20:16:12,-75.1983,-104.8266,2850.0688,-617.9279
10-Jan-2020 20:16:10,-75.1983,-104.8266,2849.8232,-617.9600
10-Jan-2020 20:16:07,-75.1983,-104.8266,2849.5763,-617.9895
10-Jan-2020 20:16:05,-75.1983,-104.8266,2849.3167,-618.0264
10-Jan-2020 20:16:04,-75.1983,-104.8266,2849.0443,-618.0577
10-Jan-2020 20:16:04,-75.1983,-104.8266,2848.7649,-618.0927
10-Jan-2020 20:16:04,-75.1983,-104.8266,2848.4836,-618.1256
10-Jan-2020 20:16:04,-75.1983,-104.8266,2848.2004,-618.1689
10-Jan-2020 20:16:04,-75.1983,-104.8266,2847.9144,-618.2145
10-Jan-2020 20:16:03,-75.1983,-104.8266,2847.6254,-618.2645
10-Jan-2020 20:16:01,-75.1983,-104.8266,2847.3418,-618.3035
10-Jan-2020 20:15:59,-75.1983,-104.8266,2847.0693,-618.3352
